trip_id,household_id,person_id,day_id,pernum,daynum,tripnum,travel_day,travel_date,travel_dow,day_iscomplete,svy_complete,depart_date,depart_dow,depart_time_hour,depart_time_minute,depart_time_second,arrive_date,arrive_dow,arrival_time_hour,arrival_time_minute,arrival_time_second,o_in_region,origin_rgcname,origin_county,origin_jurisdiction,origin_tract10,origin_tract20,d_in_region,dest_rgcname,dest_county,dest_jurisdiction,dest_tract10,dest_tract20,distance_meters,distance_miles,duration_minutes,duration_seconds,speed_mph,speed_flag,dwell_mins,days_first_trip,days_last_trip,origin_purpose_cat,origin_purpose,origin_name,dest_purpose_cat,dest_purpose,dest_purpose_other,dest_name,mode_class,mode_1,mode_2,mode_3,mode_4,mode_other_specify,mode_acc,mode_egr,travelers_total,travelers_hh,travelers_nonhh,hhmember1,hhmember2,hhmember3,hhmember4,hhmember5,hhmember6,hhmember7,hhmember8,hhmember9,hhmember10,hhmember11,hhmember12,driver,change_vehicles,taxi_cost_known,taxi_cost_int,analyst_split,analyst_merged,analyst_split_loop,copied_trip,user_split,user_merged,user_added,flag_teleport,trace_quality_flag,pt_density,point_dist_index,survey_year,hh_day_iscomplete,trip_weight,ObjectId,GlobalID
2300559501014,23005595,2300559501,230055950103,1,3,14,Yes,2023-05-01,Monday,Yes,Incomplete,2023-05-01,Monday,19,1,0,2023-05-01,Monday,19,26,0,Yes,Seattle University Community,King County,Seattle,,53033005201,Yes,Not RGC,King County,Seattle,,53033005401,2764.999442304,1.718091,25,1500,4.12342499748,No,10.2166666666667,No,No,Shopping,Went grocery shopping,,Home,Went home,,,Transit,Bus (public transit),Missing Response,Missing Response,Missing Response,,Walked or jogged,Missing: Skip Logic,1 traveler,1 traveler,No other people,Selected,-995,-995,-995,-995,-995,-995,-995,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Driver,-995,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,Yes,0.0,62977,5fbd1643-8560-43a5-8f6d-e39090009520
2301062901029,23010629,2301062901,230106290104,1,4,29,Yes,2023-05-05,Friday,Yes,Incomplete,2023-05-05,Friday,13,31,22,2023-05-05,Friday,13,32,0,Yes,Seattle Uptown,King County,Seattle,,53033007203,Yes,Seattle Uptown,King County,Seattle,,53033007203,161.999785728,0.100662,1,38,9.53690194220748,No,14.7833333333333,No,No,Work,Went to primary workplace,,Work-related,"Went to work-related activity (e.g., meeting, delivery, worksite)",,,Drive SOV,Household vehicle 1,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,Yes,0.0,64759,e20c93a9-d0a7-4b7f-9adb-290680ab8f59
2301304102001,23013041,2301304102,230130410201,2,1,1,Yes,2023-05-09,Tuesday,Yes,Incomplete,2023-05-09,Tuesday,8,20,15,2023-05-09,Tuesday,8,23,0,Yes,Not RGC,King County,Seattle,,53033006400,Yes,Not RGC,King County,Seattle,,53033007700,665.000252928,0.413212,3,165,9.01560011345537,No,453.666666666667,Yes,No,Other,Other reason,,Home,Went home,,,Missing Response,Missing Response,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Not Selected,Selected,Not Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,No,0.0,64836,0edb5870-c9c9-429b-be62-b3a01b5cbd36
2302303101014,23023031,2302303101,230230310104,1,4,14,Yes,2023-05-01,Monday,Yes,Incomplete,2023-05-01,Monday,12,33,0,2023-05-01,Monday,12,34,0,Yes,Not RGC,King County,Seattle,,53033004701,Yes,Not RGC,King County,Seattle,,53033004701,312.000302592,0.193868,1,60,11.6325453018121,No,309.583333333333,No,No,Social/Recreation,"Attended recreational event (e.g., movies, sporting event)",,Personal Business/Errand/Appointment,"Medical appointment (e.g., doctor, dentist)",,,Drive SOV,Household vehicle 1,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,Yes,0.0,67294,ff06f9ff-ebd0-43e4-935c-202e4e2d5d53
2304553101038,23045531,2304553101,230455310107,1,7,38,Yes,2023-05-08,Monday,No,Incomplete,2023-05-08,Monday,21,19,0,2023-05-08,Monday,21,31,0,Yes,Not RGC,King County,Seattle,,53033010002,Yes,Not RGC,King County,Seattle,,53033010601,8830.000599552,5.486708,12,720,27.43354,No,0.0,No,Yes,Social/Recreation,"Attended recreational event (e.g., movies, sporting event)",,Home,Went home,,,Transit,"Urban Rail (e.g., Link light rail, monorail, streetcar)",Missing Response,Missing Response,Missing Response,,Walked or jogged,"Drove and parked a car (e.g., a vehicle in my household)",2 travelers,2 travelers,No other people,Selected,Selected,-995,-995,-995,-995,-995,-995,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,-995,Missing Response,,No,No,No,No,Yes,Missing Response,No,No teleport detected,No,8.48484848484848,44.539313152202,2023,No,0.0,72944,25557766-2b6e-43f1-9fda-334815930896
2304553102003,23045531,2304553102,230455310202,2,2,3,Yes,2023-05-03,Wednesday,Yes,Incomplete,2023-05-03,Wednesday,7,45,0,2023-05-03,Wednesday,7,47,0,Yes,Not RGC,King County,Seattle,,53033010601,Yes,Not RGC,King County,Seattle,,53033010602,223.999763328,0.139187,2,120,4.17565175651757,No,0.933333333333333,Yes,No,Home,Went home,,Social/Recreation,"Social event (e.g., visit friends, family, co-workers)",,,Walk,Walk (or jog/wheelchair),Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Not Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,Yes,0.0,72967,c1290801-fe5d-48fe-82e7-cbff9a231071
2304553102029,23045531,2304553102,230455310207,2,7,29,Yes,2023-05-08,Monday,No,Incomplete,2023-05-08,Monday,20,56,0,2023-05-08,Monday,21,21,0,Yes,Not RGC,King County,Seattle,,53033009300,Yes,Not RGC,King County,Seattle,,53033010002,2602.000253952,1.616808,25,1500,3.88034540855265,No,0.0,No,No,Social/Recreation,"Attended recreational event (e.g., movies, sporting event)",,Social/Recreation,"Recreational event (e.g., movies, sporting event)",,,Transit,"Urban Rail (e.g., Link light rail, monorail, streetcar)",Missing Response,Missing Response,Missing Response,,Walked or jogged,Walked or jogged,2 travelers,2 travelers,No other people,Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,Yes,Yes,No,No,Missing Response,Missing Response,No,No teleport detected,No,7.03636363636364,7.13237130030744,2023,No,0.0,73168,1a4682dd-d680-4116-8789-0164e4bf938b
2304553102030,23045531,2304553102,230455310207,2,7,30,Yes,2023-05-08,Monday,No,Incomplete,2023-05-08,Monday,21,21,0,2023-05-08,Monday,21,32,0,Yes,Not RGC,King County,Seattle,,53033010002,Yes,Not RGC,King County,Seattle,,53033010601,8695.000778112,5.402823,11,660,29.4699972181768,No,327.666666666667,No,Yes,Social/Recreation,"Attended recreational event (e.g., movies, sporting event)",,Home,Went home,,,Missing Response,Missing Response,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,2 travelers,2 travelers,No other people,Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,Yes,Yes,No,No,Missing Response,Missing Response,No,No teleport detected,No,7.03636363636364,7.13237130030744,2023,No,0.0,73171,fbd8d104-71d5-441c-84df-e7a5c51c1b91
2305682402013,23056824,2305682402,230568240207,2,7,13,Yes,2023-05-10,Wednesday,No,Incomplete,2023-05-10,Wednesday,13,25,0,2023-05-10,Wednesday,13,50,0,Yes,Seattle University Community,King County,Seattle,,53033005306,Yes,Not RGC,King County,Seattle,,53033004102,2855.999798784,1.774636,25,1500,4.25913321461314,No,139.833333333333,Yes,No,Home,Went home,,Work,Went to primary workplace,,,Missing Response,Missing Response,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Not Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,No,0.0,77128,29ad769d-b368-4da1-923c-592286a5fdb4
2305682402014,23056824,2305682402,230568240207,2,7,14,Yes,2023-05-10,Wednesday,No,Incomplete,2023-05-10,Wednesday,16,6,25,2023-05-10,Wednesday,16,10,0,Yes,Not RGC,King County,Seattle,,53033004102,Yes,Not RGC,King County,Seattle,,53033004102,520.999370496,0.323734,4,215,5.42068249556278,No,380.266666666667,No,No,Work,Went to primary workplace,,Personal Business/Errand/Appointment,"Medical appointment (e.g., doctor, dentist)",,,Missing Response,Missing Response,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Not Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,No,0.0,77135,bc3031f1-da1b-4caa-807e-db66821d757f
2305682402015,23056824,2305682402,230568240207,2,7,15,Yes,2023-05-10,Wednesday,No,Incomplete,2023-05-10,Wednesday,22,27,52,2023-05-10,Wednesday,22,30,0,Yes,Not RGC,King County,Seattle,,53033004102,Yes,Not RGC,King County,Seattle,,53033004102,349.000730496,0.216859,3,128,6.09925467585431,No,14.4166666666667,No,No,Personal Business/Errand/Appointment,"Went to medical appointment (e.g., doctor, dentist)",,Work,Went to primary workplace,,,Missing Response,Missing Response,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Not Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,No,0.0,77138,ea1fa4ec-60ed-44bc-8e22-6e8a35e593fa
2305682402016,23056824,2305682402,230568240207,2,7,16,Yes,2023-05-10,Wednesday,No,Incomplete,2023-05-10,Wednesday,22,44,0,2023-05-10,Wednesday,23,6,0,Yes,Not RGC,King County,Seattle,,53033004102,Yes,Seattle University Community,King County,Seattle,,53033005306,2842.000115328,1.765937,22,1320,4.81620057491014,No,233.733333333333,No,Yes,Work,Went to primary workplace,,Home,Went home,,,Missing Response,Missing Response,Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Not Selected,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Missing Response,Missing Response,No,No teleport detected,No,,,2023,No,0.0,77142,8aa505e5-0c2d-476a-925e-f2c61d63bd33
2306366201002,23063662,2306366201,230636620101,1,1,2,Yes,2023-05-11,Thursday,Yes,Incomplete,2023-05-11,Thursday,5,43,0,2023-05-11,Thursday,5,50,0,Yes,Seattle First Hill/Capitol Hill,King County,Seattle,,53033008500,Yes,Seattle First Hill/Capitol Hill,King County,Seattle,,53033008500,285.999740928,0.177712,7,420,1.52325441859668,No,526.583333333333,No,No,Work-related,"Went to work-related place (e.g., meeting, second job, delivery)",,Work,Went to primary workplace,,,Walk,Walk (or jog/wheelchair),Missing Response,Missing Response,Missing Response,,Missing: Skip Logic,Missing: Skip Logic,1 traveler,1 traveler,Missing Response,Selected,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing: Skip Logic,Missing Response,,No,No,No,No,Yes,Missing Response,No,No teleport detected,No,,,2023,Yes,0.0,78170,c6b578cf-a6a4-45f6-bcc1-b2cb5eb60229
