ID,INFOR,CHOICE
2300082801,"The trip distance is 3.115555 miles, and trip purpose is Business/Errand. Trip starts at 14:15:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",3
2300082801,"The trip distance is 3.074545 miles, and trip purpose is Home. Trip starts at 15:45:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",3
2300082802,"The trip distance is 2.065438 miles, and trip purpose is Work. Trip starts at 6:50:0. Traveler is 55-64 years old, Male, with a Bachelor degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",3
2300082802,"The trip distance is 2.079729 miles, and trip purpose is Home. Trip starts at 16:15:0. Traveler is 55-64 years old, Male, with a Bachelor degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",3
2301304101,"The trip distance is 2.17045 miles, and trip purpose is Home. Trip starts at 16:48:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",3
2301304101,"The trip distance is 0.736946 miles, and trip purpose is Social/Recreation. Trip starts at 19:7:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304101,"The trip distance is 0.736946 miles, and trip purpose is Home. Trip starts at 19:22:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304101,"The trip distance is 0.363502 miles, and trip purpose is Home. Trip starts at 15:48:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304101,"The trip distance is 0.737568 miles, and trip purpose is Social/Recreation. Trip starts at 19:24:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304101,"The trip distance is 0.737568 miles, and trip purpose is Home. Trip starts at 19:37:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304101,"The trip distance is 0.395813 miles, and trip purpose is Shopping. Trip starts at 17:23:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304101,"The trip distance is 0.400163 miles, and trip purpose is Home. Trip starts at 17:43:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304101,"The trip distance is 0.124274 miles, and trip purpose is Social/Recreation. Trip starts at 14:20:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304101,"The trip distance is 0.109361 miles, and trip purpose is Social/Recreation. Trip starts at 14:36:0. Traveler is 55-64 years old, Female, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304102,"The trip distance is 0.723897 miles, and trip purpose is Social/Recreation. Trip starts at 16:24:0. Traveler is 55-64 years old, Male, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304102,"The trip distance is 0.819589 miles, and trip purpose is Social/Recreation. Trip starts at 17:16:0. Traveler is 55-64 years old, Male, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304102,"The trip distance is 2.90926 miles, and trip purpose is Home. Trip starts at 17:34:0. Traveler is 55-64 years old, Male, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304102,"The trip distance is 0.736946 miles, and trip purpose is Social/Recreation. Trip starts at 19:7:0. Traveler is 55-64 years old, Male, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304102,"The trip distance is 0.736946 miles, and trip purpose is Home. Trip starts at 19:22:0. Traveler is 55-64 years old, Male, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
2301304102,"The trip distance is 0.62075 miles, and trip purpose is Social/Recreation. Trip starts at 15:38:0. Traveler is 55-64 years old, Male, with a Graduate degree. The person's household owns 1 vehicle, and the household income is $200,000 or more. ",2
