id,prediction,CHOICE
0,2,1
1,2,1
2,2,1
3,2,1
4,2,1
5,2,1
6,2,1
7,1,2
8,1,1
9,1,1
10,2,1
11,2,0
12,2,1
13,0,1
14,2,1
15,2,1
16,2,1
17,2,0
18,2,1
19,2,1
20,2,1
21,2,1
22,1,1
23,1,1
24,2,1
25,1,0
26,1,1
27,2,1
28,2,1
29,2,1
30,1,1
31,2,0
32,2,1
33,2,1
34,1,1
35,2,1
36,2,1
37,2,1
38,2,1
39,2,1
40,2,1
41,2,1
42,2,1
43,1,1
44,2,1
45,2,1
46,2,1
47,2,1
48,2,1
49,1,0
50,2,0
51,2,1
52,2,1
53,1,0
54,2,1
55,2,1
56,1,1
57,1,1
58,2,1
59,2,1
60,2,1
61,2,1
62,2,1
63,2,1
64,2,1
65,2,1
66,2,1
67,2,1
68,2,1
69,2,1
70,2,1
71,1,1
72,2,0
73,2,2
74,2,2
75,2,1
76,2,1
77,2,1
78,2,1
79,2,1
80,1,2
81,2,2
82,1,2
83,2,2
84,2,0
85,1,0
86,2,1
87,2,1
88,2,1
89,1,1
90,2,1
91,2,1
92,2,1
93,2,0
94,1,1
95,2,1
96,2,0
97,2,1
98,2,1
99,2,1
100,2,1
101,2,1
102,1,1
103,1,1
104,1,0
105,2,1
106,2,0
107,2,1
108,1,1
109,2,1
110,2,2
111,1,1
112,2,0
113,2,0
114,2,1
115,1,0
116,1,0
117,2,0
118,2,2
119,2,0
120,2,0
121,1,1
122,1,0
123,1,1
124,2,1
125,2,1
126,2,1
127,2,1
128,2,1
129,1,1
130,0,1
131,1,1
132,2,1
133,1,1
134,1,1
135,2,1
136,2,1
137,2,1
138,2,1
139,2,1
140,1,1
141,2,1
142,1,1
143,2,1
144,2,0
145,2,1
146,2,0
147,2,1
148,1,1
149,2,1
150,2,0
151,1,1
152,2,1
153,2,1
154,2,0
155,2,0
156,2,1
157,1,0
158,2,1
159,2,1
160,2,0
161,2,1
162,2,1
163,2,1
164,2,0
165,2,0
166,1,0
167,2,0
168,1,2
169,2,2
170,2,1
171,2,1
172,2,1
173,2,1
174,1,1
175,2,1
176,1,2
177,2,2
178,2,0
179,1,0
180,1,1
181,2,1
182,2,0
183,2,1
184,2,1
185,1,0
186,1,0
187,1,1
188,1,0
189,2,1
190,2,1
191,2,1
192,2,1
193,2,0
194,2,1
195,2,1
196,2,0
197,1,1
198,1,0
199,1,0
200,2,0
201,2,0
202,2,1
203,2,0
204,2,0
205,2,1
206,2,1
207,1,0
208,2,0
209,2,0
210,2,1
211,2,0
212,2,0
213,2,1
214,2,2
215,2,0
216,1,1
217,2,0
218,2,1
219,1,1
220,2,0
221,2,1
222,2,1
223,2,1
224,2,1
225,2,1
226,1,2
227,2,0
228,2,1
229,2,0
230,2,1
231,2,1
232,1,0
233,2,0
234,2,1
235,1,0
236,2,0
237,1,0
238,2,1
239,1,0
240,2,0
241,1,0
242,2,2
243,2,1
244,1,0
245,2,1
246,2,1
247,2,0
248,2,1
249,2,1
250,2,1
251,2,1
252,2,1
253,2,1
254,1,0
255,2,1
256,2,1
257,2,1
258,2,1
259,2,1
260,2,1
261,1,1
262,1,1
263,1,0
264,2,0
265,1,0
266,2,1
267,2,1
268,1,1
269,1,1
270,2,1
271,2,1
272,2,1
273,2,1
274,1,1
275,2,1
276,2,0
277,2,0
278,2,1
279,2,1
280,2,1
281,2,1
282,2,1
283,2,1
284,1,1
285,2,1
286,2,1
287,2,1
288,2,0
289,2,0
290,2,1
291,2,1
292,2,1
293,2,1
294,2,1
295,2,1
296,2,0
297,2,0
298,2,1
299,1,1
300,2,1
301,2,1
302,2,1
303,2,0
304,2,0
305,1,1
306,1,1
307,2,0
308,1,1
