id,prediction,CHOICE
0,1,0
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,0,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,2
12,1,1
13,2,1
14,1,1
15,1,1
16,1,1
17,1,1
18,2,1
19,2,1
20,2,0
21,2,1
22,1,1
23,2,1
24,1,1
25,1,1
26,0,1
27,2,1
28,1,0
29,1,1
30,1,1
31,1,1
32,1,1
33,2,1
34,1,1
35,2,1
36,1,0
37,1,1
38,2,1
39,2,1
40,2,1
41,1,1
42,1,1
43,2,1
44,1,1
45,2,0
46,1,1
47,2,1
48,1,1
49,1,1
50,1,1
51,2,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,0
65,2,0
66,1,1
67,1,1
68,2,0
69,2,0
70,1,1
71,1,1
72,1,0
73,1,1
74,2,1
75,2,1
76,2,1
77,1,1
78,1,1
79,2,1
80,2,1
81,1,1
82,2,1
83,1,1
84,2,2
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,0
100,1,2
101,2,2
102,2,1
103,1,1
104,1,1
105,2,1
106,1,1
107,1,1
108,1,2
109,1,2
110,2,2
111,2,2
112,2,2
113,2,0
114,2,0
115,1,1
116,2,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,2,1
123,1,1
124,1,1
125,2,1
126,1,1
127,1,0
128,1,1
129,1,1
130,2,1
131,1,0
132,1,1
133,1,1
134,2,1
135,1,1
136,1,1
137,2,1
138,2,1
139,2,1
140,1,0
141,2,1
142,1,0
143,2,1
144,2,1
145,1,1
146,1,2
147,1,1
148,1,0
149,2,0
150,0,1
151,1,0
152,1,0
153,2,0
154,1,2
155,2,0
156,1,0
157,2,1
158,2,0
159,1,1
160,1,1
161,2,1
162,1,1
163,1,1
164,2,1
165,1,1
166,2,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,2,1
173,1,1
174,1,1
175,1,1
176,1,1
177,2,1
178,1,1
179,1,1
180,2,0
181,1,1
182,2,0
183,2,1
184,2,2
185,2,1
186,2,1
187,1,0
188,1,1
189,2,2
190,2,1
191,2,1
192,2,1
193,1,1
194,1,1
195,1,0
196,1,0
197,2,1
198,2,0
199,1,0
200,1,1
201,1,1
202,1,0
203,2,1
204,1,1
205,1,1
206,1,1
207,2,1
208,2,0
209,1,0
210,2,1
211,1,0
212,1,0
213,2,0
214,1,2
215,2,2
216,1,1
217,1,1
218,2,1
219,2,1
220,2,1
221,1,1
222,2,2
223,1,1
224,1,2
225,1,0
226,2,0
227,2,1
228,1,1
229,1,0
230,2,1
231,2,1
232,2,0
233,1,0
234,1,1
235,2,0
236,1,1
237,1,1
238,1,1
239,2,1
240,0,1
241,2,0
242,1,1
243,1,1
244,1,0
245,1,1
246,1,0
247,1,0
248,2,0
249,1,0
250,2,1
251,2,0
252,2,0
253,2,1
254,1,1
255,1,0
256,2,0
257,1,0
258,1,0
259,1,1
260,1,0
261,0,0
262,1,1
263,1,2
264,2,0
265,1,1
266,1,0
267,1,1
268,2,1
269,2,0
270,1,1
271,1,1
272,2,1
273,1,1
274,2,1
275,1,2
276,2,0
277,2,1
278,1,0
279,1,1
280,1,1
281,1,0
282,2,0
283,1,1
284,1,0
285,1,0
286,1,0
287,1,1
288,2,1
289,1,0
290,1,0
291,2,0
292,2,2
293,1,1
294,2,0
295,1,1
296,1,1
297,2,0
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,2,1
304,2,1
305,2,0
306,2,1
307,2,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,0
318,1,0
319,1,0
320,1,1
321,2,1
322,1,1
323,1,1
324,1,1
325,2,1
326,1,1
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,2,0
335,1,0
336,2,1
337,1,0
338,2,1
339,1,1
340,1,1
341,1,1
342,1,1
343,2,1
344,1,1
345,1,1
346,1,1
347,2,0
348,1,0
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,1,0
356,2,0
357,1,0
358,1,1
359,1,1
360,1,1
361,2,1
362,1,1
363,1,0
364,1,0
365,2,1
366,1,1
367,1,0
368,2,1
369,1,1
370,1,0
371,1,1
372,2,0
373,1,1
374,2,1
375,1,1
376,1,1
377,1,0
378,1,0
379,1,0
380,1,0
381,1,1
382,2,0
383,1,0
384,1,0
385,1,0
386,1,2
387,1,2
388,1,1
389,1,0
390,2,0
391,1,0
392,2,0
393,1,0
394,2,0
395,2,1
396,2,1
397,1,1
398,2,2
399,1,1
400,1,1
401,2,1
402,1,1
403,1,1
404,2,2
405,1,1
406,2,2
407,1,1
408,1,1
409,1,0
410,2,0
411,1,1
412,2,1
413,2,1
414,1,1
415,1,1
416,2,2
417,0,0
418,1,1
419,1,0
420,1,1
421,2,1
422,1,0
423,2,1
424,1,2
425,1,2
426,2,0
427,1,1
428,2,1
429,1,0
430,2,1
431,1,1
432,1,1
433,2,0
434,1,1
435,1,0
436,2,0
437,2,1
438,2,1
439,1,1
440,1,0
441,2,0
442,1,0
443,2,0
444,2,1
445,1,2
446,2,0
447,2,2
448,1,1
449,1,0
450,2,1
451,1,0
452,1,2
453,2,0
454,1,1
455,1,0
456,1,0
457,1,2
458,1,1
459,2,0
460,1,0
461,1,1
462,1,1
463,1,0
464,1,0
465,1,0
466,1,0
467,1,1
468,1,1
469,1,0
470,1,0
471,1,0
472,2,1
473,1,1
474,1,1
475,2,1
476,2,2
477,1,1
478,2,1
479,2,0
480,2,0
481,1,1
482,1,1
483,1,1
484,1,0
485,1,0
486,2,0
487,1,1
488,2,1
489,1,1
490,1,1
491,1,1
492,1,1
493,1,2
494,1,1
495,2,1
496,2,1
497,1,1
498,2,1
499,2,1
500,1,1
501,1,2
502,1,0
503,1,0
504,0,1
505,1,1
506,2,0
507,1,0
508,2,2
509,1,0
510,2,1
511,1,0
512,1,2
513,2,0
514,1,0
