id,prediction,CHOICE
0,2.0,1
1,1.0,1
2,2.0,2
3,2.0,1
4,1.0,1
5,1.0,1
6,1.0,2
7,1.0,1
8,2.0,2
9,3.0,3
10,1.0,1
11,2.0,2
12,2.0,2
13,2.0,2
14,1.0,1
15,2.0,2
16,1.0,1
17,1.0,1
18,2.0,2
19,1.0,1
20,2.0,2
21,2.0,2
22,2.0,2
23,1.0,1
24,2.0,2
25,1.0,1
26,2.0,2
27,1.0,3
28,2.0,2
29,1.0,1
30,2.0,2
31,4.0,2
32,2.0,2
33,4.0,4
34,2.0,2
35,2.0,2
36,2.0,2
37,1.0,1
38,1.0,1
39,3.0,2
40,2.0,2
41,2.0,2
42,1.0,1
43,2.0,2
44,2.0,2
45,1.0,1
46,2.0,2
47,2.0,2
48,2.0,2
49,1.0,1
50,2.0,3
51,4.0,4
52,4.0,4
53,1.0,1
54,2.0,1
55,2.0,2
56,1.0,3
57,1.0,1
58,2.0,2
59,2.0,2
60,1.0,3
61,1.0,1
62,1.0,1
63,3.0,3
64,2.0,2
65,3.0,2
66,2.0,2
67,2.0,2
68,2.0,2
69,2.0,2
70,3.0,3
71,2.0,2
72,1.0,3
73,2.0,2
74,2.0,2
75,2.0,2
76,2.0,2
77,2.0,2
78,2.0,2
79,1.0,1
80,3.0,3
81,1.0,1
82,3.0,3
83,1.0,1
84,2.0,2
85,2.0,2
86,1.0,3
87,2.0,2
88,1.0,1
89,4.0,4
90,1.0,1
91,2.0,2
92,1.0,1
93,2.0,2
94,2.0,2
95,1.0,1
96,1.0,1
97,1.0,1
98,2.0,2
99,1.0,1
100,1.0,1
101,2.0,2
102,2.0,2
103,2.0,2
104,1.0,1
105,2.0,2
106,1.0,1
107,3.0,2
108,2.0,1
109,3.0,3
110,2.0,2
111,2.0,2
112,3.0,3
113,3.0,3
114,2.0,3
115,2.0,2
116,2.0,2
117,1.0,1
118,2.0,2
119,2.0,2
120,1.0,1
121,2.0,2
122,1.0,1
123,2.0,2
124,2.0,2
125,1.0,4
126,3.0,3
127,2.0,1
128,3.0,3
129,2.0,2
130,2.0,2
131,2.0,2
132,2.0,2
133,1.0,1
134,1.0,1
135,2.0,2
136,2.0,2
137,2.0,2
138,2.0,2
139,2.0,2
140,1.0,4
141,1.0,3
142,2.0,1
143,2.0,2
144,2.0,2
145,2.0,2
146,4.0,1
147,2.0,2
148,2.0,2
149,4.0,3
150,1.0,1
151,2.0,2
152,2.0,2
153,1.0,1
154,1.0,1
155,2.0,2
156,2.0,2
157,2.0,2
158,1.0,1
159,2.0,2
160,2.0,2
161,2.0,2
162,2.0,2
163,1.0,1
164,3.0,3
165,2.0,2
166,2.0,2
167,2.0,2
168,1.0,1
169,1.0,4
170,2.0,2
171,1.0,4
172,1.0,3
173,2.0,1
174,3.0,4
175,1.0,1
176,2.0,1
177,1.0,2
178,2.0,2
179,1.0,1
180,2.0,2
181,2.0,2
182,2.0,3
183,2.0,2
184,3.0,3
185,3.0,3
186,4.0,4
187,1.0,1
188,2.0,2
189,1.0,1
190,1.0,3
191,4.0,2
192,2.0,2
193,2.0,1
194,2.0,2
195,1.0,3
196,2.0,2
197,1.0,4
198,2.0,2
199,2.0,2
200,1.0,1
201,2.0,2
202,1.0,1
203,2.0,2
204,1.0,1
205,1.0,1
206,2.0,2
207,4.0,4
208,1.0,3
209,3.0,2
210,2.0,1
211,2.0,2
212,1.0,1
213,2.0,2
214,1.0,1
215,2.0,2
216,2.0,2
217,2.0,2
218,1.0,1
219,2.0,2
220,2.0,2
221,2.0,2
222,1.0,1
223,1.0,1
224,2.0,2
225,2.0,2
226,2.0,2
227,1.0,1
228,2.0,2
229,1.0,1
230,2.0,2
231,4.0,1
232,3.0,1
233,3.0,3
234,2.0,2
235,3.0,3
236,4.0,4
237,1.0,3
238,2.0,2
239,3.0,2
240,1.0,1
241,3.0,4
242,2.0,2
243,1.0,1
244,1.0,1
245,2.0,2
246,3.0,3
247,1.0,1
248,3.0,3
249,3.0,3
250,1.0,1
251,1.0,1
252,2.0,2
253,2.0,1
254,2.0,2
255,1.0,3
256,2.0,2
257,2.0,2
258,2.0,2
259,1.0,1
260,2.0,2
261,2.0,2
262,3.0,2
263,1.0,1
264,2.0,2
265,4.0,1
266,2.0,2
267,2.0,2
268,3.0,3
269,2.0,2
270,1.0,3
271,1.0,1
272,1.0,1
273,1.0,1
274,1.0,1
275,2.0,2
276,2.0,2
277,2.0,2
278,4.0,3
279,2.0,2
280,2.0,1
281,1.0,1
282,2.0,2
283,2.0,4
284,3.0,3
285,2.0,2
286,1.0,1
287,2.0,2
288,2.0,2
289,1.0,4
290,1.0,1
291,2.0,2
292,2.0,2
293,2.0,2
294,2.0,2
295,2.0,2
296,1.0,1
297,3.0,3
298,2.0,1
299,1.0,1
300,1.0,1
301,1.0,1
302,1.0,1
303,1.0,1
304,2.0,2
305,2.0,2
306,1.0,1
307,4.0,1
308,1.0,1
309,2.0,2
310,1.0,1
311,3.0,1
312,3.0,3
313,2.0,2
314,2.0,2
315,4.0,4
316,1.0,1
317,3.0,2
318,3.0,3
319,3.0,3
320,2.0,2
321,4.0,4
322,2.0,2
323,4.0,2
324,3.0,3
325,2.0,2
326,2.0,2
327,2.0,2
328,2.0,2
329,1.0,1
330,2.0,2
331,2.0,2
332,2.0,2
333,2.0,2
334,1.0,1
335,2.0,2
336,1.0,1
337,2.0,2
338,2.0,2
339,4.0,3
340,1.0,1
341,3.0,3
342,1.0,4
343,2.0,2
344,2.0,2
345,2.0,2
346,2.0,2
347,2.0,1
348,2.0,2
349,1.0,1
350,2.0,2
351,2.0,2
352,1.0,1
