id,prediction,CHOICE
0,1.0,0
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,0
6,1.0,0
7,1.0,1
8,0.0,0
9,0.0,0
10,1.0,0
11,1.0,1
12,1.0,1
13,2.0,1
14,1.0,1
15,1.0,1
16,1.0,0
17,1.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,2.0,1
22,1.0,1
23,2.0,1
24,1.0,1
25,1.0,1
26,1.0,1
27,1.0,0
28,1.0,1
29,1.0,1
30,1.0,1
31,0.0,0
32,2.0,2
33,2.0,1
34,0.0,0
35,1.0,0
36,1.0,1
37,1.0,0
38,1.0,1
39,2.0,0
40,1.0,1
41,2.0,2
42,1.0,1
43,1.0,1
44,1.0,1
45,1.0,2
46,1.0,0
47,2.0,1
48,1.0,1
49,0.0,0
50,1.0,1
51,2.0,2
52,1.0,1
53,0.0,0
54,1.0,0
55,1.0,1
56,1.0,0
57,1.0,1
58,0.0,0
59,1.0,0
60,1.0,1
61,1.0,1
62,1.0,1
63,1.0,0
64,2.0,2
65,1.0,0
66,1.0,1
67,1.0,2
68,1.0,0
69,1.0,1
70,1.0,1
71,2.0,2
72,1.0,1
73,0.0,1
74,1.0,1
75,1.0,1
76,0.0,0
77,1.0,0
78,1.0,1
79,1.0,1
80,1.0,2
81,1.0,1
82,1.0,1
83,1.0,1
84,0.0,0
85,1.0,0
86,1.0,1
87,1.0,0
88,1.0,1
89,1.0,1
90,2.0,2
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,0.0,0
97,0.0,0
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,1.0,1
106,1.0,1
107,1.0,1
108,1.0,1
109,1.0,1
110,1.0,1
111,1.0,1
112,2.0,1
113,1.0,1
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,0
123,1.0,1
124,1.0,1
125,0.0,0
126,0.0,0
127,1.0,1
128,1.0,0
129,0.0,1
130,1.0,1
131,1.0,1
132,1.0,1
133,1.0,0
134,1.0,1
135,1.0,2
136,1.0,1
137,2.0,2
138,0.0,0
139,1.0,1
140,1.0,1
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,0.0,0
146,1.0,1
147,1.0,1
148,1.0,1
149,1.0,0
150,0.0,0
151,1.0,1
152,1.0,1
153,1.0,1
154,1.0,1
155,1.0,1
156,1.0,1
157,0.0,0
158,1.0,1
159,0.0,0
160,2.0,1
161,1.0,1
162,2.0,0
163,1.0,1
164,1.0,0
165,1.0,1
166,1.0,1
167,1.0,1
168,1.0,1
169,1.0,1
170,1.0,0
171,1.0,1
172,0.0,0
173,0.0,0
174,1.0,1
175,1.0,1
176,1.0,1
177,0.0,0
178,0.0,0
179,0.0,1
